TradingDate,int_Stkcd,index,Stkcd,open,high,low,close,simple_Stkcd,date,AdjustingFactor,FirstIndustryName,sector,return,max_return,current_drawback,max_place,min_place,max_return_next,upstop_num,downstop_num
20110620,2195,232800,002195.SZ,15.76,15.89,15.42,31.54155825854885,002195,20110620,1.9874957944895306,计算机,TMT,0.007619047619047636,0.6027586206896551,-0.31473880742924754,35.0,5.0,0.2413358538122241,1.0,0.0
20110620,600868,234165,600868.SH,3.4,3.43,3.37,120.15615394898825,600868,20110620,35.34004527911419,公用事业,公用,-0.011627906976744207,0.5489614243323442,-0.3486590038314177,17.0,6.0,0.08529411764705874,0.0,0.0
20110620,600889,234185,600889.SH,9.2,9.33,8.7,39.8306634696705,600889,20110620,4.510833915024971,化工,工业,-0.05763073639274274,0.5657894736842106,-0.3218814568405034,19.0,0.0,0.19932049830124576,4.0,0.0
20110621,2075,234862,002075.SZ,7.94,8.21,7.94,16.3845001871958,002075,20110621,2.0029951329090223,钢铁,大宗材料,0.030226700251889005,0.8719999999999999,-0.3008547008547009,9.0,0.0,0.12224938875305646,2.0,0.0
20110621,2195,234982,002195.SZ,15.93,16.25,15.63,32.1974318707304,002195,20110621,1.9874957944895306,计算机,TMT,0.020793950850661602,0.6027586206896551,-0.3004895198710654,34.0,4.0,0.21604938271604923,1.0,0.0
20110621,600868,236348,600868.SH,3.4,3.45,3.37,121.56975576015282,600868,20110621,35.34004527911419,公用事业,公用,0.0117647058823529,0.5489614243323442,-0.3409961685823756,16.0,5.0,0.07267441860465107,0.0,0.0
20110622,600868,238534,600868.SH,3.46,3.47,3.39,120.5095544017794,600868,20110622,35.34004527911419,公用事业,公用,-0.008720930232558044,0.5489614243323442,-0.3467432950191571,15.0,4.0,0.08211143695014655,0.0,0.0
20110623,600868,240721,600868.SH,3.39,3.48,3.37,122.2765566657351,600868,20110623,35.34004527911419,公用事业,公用,0.014662756598240456,0.5489614243323442,-0.3371647509578545,14.0,3.0,0.06647398843930641,0.0,0.0
20110624,600868,242908,600868.SH,3.44,3.63,3.43,126.16396164643767,600868,20110624,35.34004527911419,公用事业,公用,0.031791907514451045,0.5489614243323442,-0.3160919540229885,13.0,2.0,0.03361344537815114,0.0,0.0
20110627,600868,245095,600868.SH,3.54,3.59,3.52,125.81056119364654,600868,20110627,35.34004527911419,公用事业,公用,-0.0028011204481792618,0.5489614243323442,-0.31800766283524906,12.0,1.0,0.03651685393258419,0.0,0.0
20110628,600868,247284,600868.SH,3.55,3.68,3.51,128.63776481597566,600868,20110628,35.34004527911419,公用事业,公用,0.022471910112359383,0.5489614243323442,-0.30268199233716475,11.0,0.0,0.038461538461538325,0.0,0.0
20110728,600539,295446,600539.SH,10.12,10.15,9.89,12.09061290162813,600539,20110728,1.2139169579947922,建筑材料,工业,-0.02639296187683282,0.5372168284789647,-0.30105263157894735,36.0,26.0,0.02208835341365445,5.0,0.0
20110805,620,307182,000620.SZ,7.45,7.54,7.11,20.33465806451612,000620,20110805,2.8242580645161275,房地产,房产,-0.08629441624365475,11.899145299145294,-0.3320964749536177,40.0,0.0,0.07916666666666661,1.0,0.0
20110805,600539,308741,600539.SH,9.7,9.83,9.67,11.73857698380964,600539,20110805,1.2139169579947922,建筑材料,工业,-0.05009823182711193,0.5372168284789647,-0.3214035087719299,30.0,20.0,0.0,5.0,0.0
20110808,620,309401,000620.SZ,7.05,7.11,6.58,18.696588387096764,000620,20110808,2.8242580645161275,房地产,房产,-0.0805555555555556,11.899145299145294,-0.385899814471243,39.0,0.0,0.1737160120845922,1.0,0.0
20110808,600721,311122,600721.SH,18.42,18.65,16.87,24.71038675199215,600721,20110808,1.4535521618818912,采掘,大宗材料,-0.09284951974386335,0.4919306634787808,-0.3189102564102564,29.0,5.0,0.12294117647058833,3.0,0.0
